,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
36,37,2.0,903.5,4.0,1.0,6.0,141.939818145,53.994471165,110.06232084999999,6.813000880000001,7.977632625,9.297487665,0.74912144,-0.8609268,-0.74826621,-1455.4307582850001,0.0,0.0,238.06249966500002,65.86201321499999
37,38,2.0,1089.0,4.0,1.0,11.0,140.66417755,31.76416333,225.2411763,5.25015962,69.94740558,15.17727346,0.58216373,-0.71554754,-0.80965411,-1752.71266938,0.0,0.0,326.09999946,117.68780729
38,39,2.0,882.0,4.0,2.0,10.5,173.68504282,47.46669677,80.87046380000001,5.86204835,5.88624921,7.789726164999999,0.7259754549999999,-0.8742280099999999,-0.7468838449999999,-1420.989182175,0.0,0.0,244.5875006,50.8002235
39,40,2.0,910.0,4.0,1.0,8.5,185.59260961500001,43.47614537,81.242785365,5.206065915,5.65623471,7.074548,0.7105210550000001,-0.858219055,-0.7279905099999999,-1465.16963107,0.0,0.0,256.312499835,49.439957230000005
40,41,2.0,776.5,4.0,1.0,6.5,158.78641972999998,56.394015875,117.259963545,6.926367485,7.5946947300000005,9.680818105,0.66590479,-0.82592562,-0.67090001,-1249.8498608,0.0,0.0,260.24999962000004,68.885383785
41,42,2.0,801.5,4.0,2.0,14.5,169.79067043499998,48.991047030000004,124.73146493,6.23510804,8.71593431,9.247364655,0.6719959950000001,-0.80644162,-0.6678803950000001,-1290.032318085,0.0,0.0,276.39999987500005,70.126379435
42,43,2.0,659.0,4.0,2.0,12.5,153.58666449999998,45.39721077,109.615002625,6.513365615,8.76360847,9.494443005,0.69181624,-0.8230113,-0.69068744,-1061.36279869,0.0,0.0,247.47500087499998,61.931678895000005
43,44,2.0,1142.0,4.0,3.0,10.0,171.00265323,69.53126866,162.81103116,7.10648943,7.8097617,10.06924911,0.66015567,-0.80675463,-0.64616663,-1838.31638057,0.0,0.0,311.97499985,93.06573912
44,45,2.0,764.5,4.0,2.0,7.5,149.83367852499998,70.446392965,122.436703325,9.02769748,8.080171635,11.924504800000001,0.7169158449999999,-0.86263519,-0.718472145,-1230.889039395,0.0,0.0,257.312500615,76.030564025
45,46,2.0,751.5,4.0,1.0,8.0,193.212004075,55.38966599,124.54486227499999,6.95938036,8.604334015,9.97157206,0.6634925300000001,-0.81755497,-0.669238455,-1209.62132965,0.0,0.0,300.337500145,71.869587955
46,47,2.0,905.5,4.0,1.0,7.5,170.686761935,63.160988204999995,69.79566292999999,8.816511965,6.044616384999999,10.57585089,0.789601715,-0.92874365,-0.81348111,-1459.6367997749999,0.0,0.0,234.100000315,54.08477361
47,48,2.0,799.0,4.0,1.0,12.0,175.929584825,49.497749065,121.95680784999999,6.47361317,8.979535465,9.50174538,0.698120005,-0.8233461950000001,-0.696110225,-1286.32165821,0.0,0.0,280.287499965,68.5324897
48,49,2.0,614.0,4.0,1.0,6.0,169.16569290500001,66.19359987499999,146.102280885,9.19190367,10.297051795,12.97273386,0.656451125,-0.81117738,-0.6532719899999999,-988.316497535,0.0,0.0,295.40000054,84.717216555
49,50,2.0,809.0,4.0,1.0,8.5,175.045198255,35.19831534,98.99332438,4.50174437,7.428571835,6.941503125,0.6447883,-0.7837877,-0.64508825,-1303.09577832,0.0,0.0,259.15000097,54.793564020000005
50,51,2.0,780.0,4.0,1.0,9.0,157.972587705,41.04453065,101.95676621999999,5.334939605000001,7.352887555,7.850684715,0.67653414,-0.811096815,-0.67535143,-1255.488052465,0.0,0.0,245.187500915,57.502458355
51,52,2.0,1158.0,4.0,1.0,6.0,171.90609681,66.45162258,162.63796059,6.10138997,6.79684511,9.00719446,0.55440136,-0.75740778,-0.54578,-1867.82289261,0.0,0.0,310.67499947,92.30800046
52,53,2.0,632.0,4.0,1.0,7.0,156.21999767,55.071101745,139.16150585,7.181392805,8.69257651,10.67194007,0.588926305,-0.769350015,-0.58196584,-1017.842471685,0.0,0.0,274.98750016500003,78.766969685
