0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
93,2,1201,4,1,13,166.10909353,63.42332038,147.60142785,6.16034726,7.11434359,8.78841102,0.64403075,-0.79974727,-0.63558855,-1932.95631644,0.0,0.0,293.57500035,84.9887749
95,2,1201,4,1,10,175.43182525,44.22341927,96.08722057,4.56270362,5.68165719,6.46436795,0.69845576,-0.83743483,-0.70649161,-1932.93331506,0.0,0.0,258.27500063,55.78953272
97,2,1201,4,1,7,159.37047318,43.54761922,98.97454918,4.56119718,5.90114934,6.53944304,0.70193763,-0.83373873,-0.70557754,-1933.06389112,0.0,0.0,244.50000114,56.81769142
98,2,360,4,33,10,151.43458086,16.03370543,120.38969008,0.0,0.0,0.0,0.0,0.0,0.0,-579.40063345,0.0,0.0,250.50000021,62.85797487
100,2,1201,4,3,5,159.89468305,60.21012641,133.48410304,5.59617939,6.07119383,7.98457866,0.60902024,-0.79524937,-0.60970003,-1934.5067803,0.0,0.0,274.77500083,76.94512176
102,2,1201,4,1,6,163.5695003,43.97235581,107.96070651,4.58173604,6.28901491,6.72430227,0.68327319,-0.81636499,-0.68246168,-1933.03641426,0.0,0.0,255.99999795,60.94259726
104,2,1201,4,3,7,158.33477556,65.42615373,115.49964799,6.41069486,5.89953935,8.4043424,0.69441812,-0.85467596,-0.70417055,-1934.43691161,0.0,0.0,260.57500042,72.09675249
106,2,1201,4,1,8,169.32140898,56.51671309,83.58919636,6.38922308,5.70611656,8.22795089,0.78064132,-0.9100802,-0.8026022,-1933.1410245,0.0,0.0,243.60000137,55.28982768
108,2,1201,4,1,7,166.1749127,48.00336824,149.57757376,4.89699089,7.76429243,7.80552543,0.59408926,-0.74677081,-0.58092502,-1933.0280988,0.0,0.0,292.57499957,81.53307157
110,2,1201,4,1,10,148.07173772,63.97053941,172.65040334,6.69392501,7.61086128,10.08586311,0.66010993,-0.79365648,-0.62823073,-1935.56164844,0.0,0.0,293.84999964,92.51771523
112,2,1201,4,1,11,202.18253759,69.00873725,131.20485304,7.10459103,7.54518671,9.69033669,0.71632627,-0.85894605,-0.72627364,-1932.9510519,0.0,0.0,316.17500009,78.95848148
114,2,1201,4,1,5,151.63776997,32.74476383,94.28670749,3.41326264,5.32880881,5.27399034,0.6420283,-0.77880046,-0.63424525,-1932.94881479,0.0,0.0,231.64999832,51.82521145
116,2,1201,4,1,7,187.01142927,54.59857022,111.39273081,5.54886597,6.43936403,7.7231705,0.69750312,-0.84382092,-0.70849154,-1933.00996579,0.0,0.0,283.49999921,65.79703603
117,2,409,4,1,7,197.29654333,64.02026588,109.01612668,11.46558382,11.4650614,15.23315283,0.73471232,-0.87850613,-0.75350885,-658.35382292,0.0,0.0,292.899999,68.02334228
