,subject,test,score,Tau
53,54,MU,0.5048498524620038,103.25632294
54,55,MU,-1.7842630740061691,109.60879840000001
55,56,MU,-0.2393937590990762,82.30270446
56,57,MU,-0.3014140600625004,144.943318115
57,58,MU,-1.4741615691890517,161.246648075
58,59,MU,0.6063376176748779,140.85490922
59,60,MU,-0.5269424272022217,99.872267955
60,61,MU,-1.468523360010559,107.635368445
61,62,MU,0.8205895664576139,134.17438285
62,63,MU,-0.284499432527021,126.262963815
63,64,MU,0.4484677606770736,187.059458105
64,65,MU,2.4669466465775827,82.37454715000001
65,66,MU,0.6683579186383025,129.96798863499998
66,67,MU,-1.3501209672622048,111.654701675
67,68,MU,-0.9441699064107066,123.85382123
68,69,MU,0.7134635920662473,111.53530975
69,70,MU,1.8467436369433468,85.54649319500002
70,71,MU,-1.1527836460149483,112.525510515
71,72,MU,2.280885743687312,111.06764253
72,73,MU,-0.391625406918389,195.34271704
73,74,MU,-1.0794869266945386,99.999492985
74,75,MU,0.16091909257392964,139.09472978
75,76,MU,-1.2599096204063165,159.81715987
76,77,MU,-0.002588973602369152,105.081631475
77,78,MU,-0.7524707943419428,102.845363005
78,79,MU,0.4371913423200875,68.39936165
79,81,MU,-1.1584218551934415,99.93913337
80,82,MU,1.311113764986509,80.53566765
81,83,MU,-0.977999161481664,159.559788395
82,84,MU,1.9933370755841664,100.10477661
83,85,MU,-1.2486332020493305,146.444340515
84,87,MU,-1.186612901085907,157.55230059000004
85,88,MU,2.015889912298138,100.50512306
86,89,MU,-0.41417824363236105,187.633783205
87,90,MU,-0.36907257020441625,96.947023295
88,91,MU,0.11581341914598485,98.887866815
89,92,MU,-0.5325806363807147,108.92595975
90,93,MU,0.7698456838511775,173.63367576
91,94,MU,0.3526182046426929,163.19341401
92,95,MU,-0.3014140600625004,131.761452085
93,96,MU,0.4992116432835113,95.67161811
94,97,MU,0.3413417862857062,113.826037765
95,98,MU,1.0066504693478855,146.766366415
96,99,MU,1.096861816203773,116.39222179999999
97,100,MU,-0.31832868759797944,89.400578535
98,1,OSPAN,-0.3229533683782113,106.72445752
99,2,OSPAN,0.9183986413255372,120.855988275
100,3,OSPAN,0.3633225394254865,111.727054065
101,4,OSPAN,1.1202444965619192,172.39859476499996
102,5,OSPAN,1.009229276181909,123.16638393
103,6,OSPAN,1.009229276181909,99.036833455
104,7,OSPAN,1.009229276181909,175.32081739
105,8,OSPAN,0.8679371775164416,92.24280198
106,9,OSPAN,1.291813473512844,103.864944985
107,10,OSPAN,-1.0495984472291855,118.78651816
108,11,OSPAN,-1.4028286938928538,163.62562660999996
109,12,OSPAN,0.2422150262836573,45.717286455
110,13,OSPAN,0.04036917104727528,100.86096799
111,14,OSPAN,-0.22203044076002024,134.732704055
112,15,OSPAN,1.009229276181909,62.55620093
113,16,OSPAN,-0.39359941771094503,69.19922793
114,17,OSPAN,0.9587678123728146,88.584535805
115,18,OSPAN,1.1202444965619192,112.05009554
116,19,OSPAN,-0.7165527860891562,94.333945025
117,20,OSPAN,1.291813473512844,113.182591585
118,21,OSPAN,-0.08073834209455169,128.81424965
119,22,OSPAN,-2.1597506510292868,105.09143564
120,23,OSPAN,-1.917535624745627,96.5325773
121,24,OSPAN,-0.8982140558019001,137.38157547
122,25,OSPAN,-0.12110751314182923,82.896873935
123,26,OSPAN,0.04036917104727528,125.606951375
124,27,OSPAN,0.16147668418910566,101.772580395
125,28,OSPAN,0.2825841973309348,121.418952025
126,29,OSPAN,0.4642454670436775,137.98269932
127,30,OSPAN,0.5752606874236887,105.905468645
128,31,OSPAN,0.15138439142728652,136.382408935
129,32,OSPAN,0.25230731904547754,109.171008125
130,33,OSPAN,0.7468296643746124,130.76394503
131,34,OSPAN,1.0798753255146438,128.59129744
132,35,OSPAN,1.1202444965619192,124.953257025
133,36,OSPAN,0.1412920986654663,119.343968795
134,37,OSPAN,-0.010092292761819102,110.06232085
135,38,OSPAN,0.9183986413255372,225.24117630000003
136,39,OSPAN,-0.3431379539018495,80.87046380000002
137,40,OSPAN,-0.3330456611400292,81.242785365
138,41,OSPAN,0.9587678123728146,117.259963545
139,42,OSPAN,-2.099196894458371,124.73146493
140,43,OSPAN,0.6358144439946034,109.615002625
141,44,OSPAN,-0.9486755196109944,162.81103116
142,45,OSPAN,0.5348915163764124,122.436703325
143,46,OSPAN,0.6156298584709641,124.544862275
144,47,OSPAN,-0.4036917104727629,69.79566292999999
145,48,OSPAN,0.5247992236145933,121.95680785
146,49,OSPAN,-0.6459067367564225,146.102280885
147,50,OSPAN,0.7064604933273371,98.99332438
148,51,OSPAN,-0.21193814799820115,101.95676622
149,52,OSPAN,-0.10092292761819102,162.63796059
150,53,OSPAN,-4.0066402264421805,139.16150585
151,54,OSPAN,0.6660913222800596,103.25632294
152,55,OSPAN,0.0,109.60879840000001
153,56,OSPAN,-0.03027687828545618,82.30270446
154,57,OSPAN,-1.3826441083692158,144.943318115
155,58,OSPAN,-0.908306348563718,161.246648075
156,59,OSPAN,-1.009229276181909,140.85490922
157,60,OSPAN,-2.0487354306492755,99.872267955
158,61,OSPAN,-0.4642454670436787,107.635368445
159,62,OSPAN,0.0908306348563708,134.17438285
160,63,OSPAN,0.4642454670436775,126.262963815
161,64,OSPAN,0.5752606874236887,187.059458105
162,65,OSPAN,0.4238762959964023,82.37454715000001
163,66,OSPAN,0.9183986413255372,129.96798863499998
164,67,OSPAN,-1.7055974767474271,111.654701675
165,68,OSPAN,0.8679371775164416,123.85382123
166,69,OSPAN,-0.5449838091382315,111.53530975
167,70,OSPAN,1.291813473512844,85.54649319500002
168,71,OSPAN,-2.270765871409296,112.525510515
169,72,OSPAN,1.1202444965619192,111.06764253
170,73,OSPAN,0.6156298584709641,195.34271704
171,74,OSPAN,-1.5542130853201406,99.999492985
172,75,OSPAN,-0.03027687828545618,139.09472978
173,76,OSPAN,-0.2926764900927539,159.81715987
174,77,OSPAN,0.9183986413255372,105.081631475
175,78,OSPAN,0.38350712494912587,102.845363005
176,79,OSPAN,1.1202444965619192,68.39936165
177,81,OSPAN,-1.8872587464601696,99.93913337
178,82,OSPAN,0.4642454670436775,80.53566765
179,83,OSPAN,0.7064604933273371,159.559788395
180,84,OSPAN,0.5651683946618685,100.10477661
181,85,OSPAN,-0.3330456611400292,146.444340515
182,87,OSPAN,0.2825841973309348,157.55230059000004
183,88,OSPAN,-0.3330456611400292,100.50512306
184,89,OSPAN,0.8477525919928034,187.633783205
