,subject,test,score,Tau
47,48,MU_Partial,0.4509803921568627,121.95680784999999
48,49,MU_Partial,0.5509803921568628,146.102280885
49,50,MU_Partial,0.4156862745098039,98.99332438
50,51,MU_Partial,0.7754901960784314,101.95676621999999
51,52,MU_Partial,0.5019607843137255,162.63796059
52,53,MU_Partial,0.17647058823529416,139.16150585
53,54,MU_Partial,0.5911764705882352,103.25632294
54,55,MU_Partial,0.1931372549019608,109.6087984
55,56,MU_Partial,0.461764705882353,82.30270446
56,57,MU_Partial,0.4509803921568627,144.943318115
57,58,MU_Partial,0.24705882352941175,161.246648075
58,59,MU_Partial,0.6088235294117645,140.85490922
59,60,MU_Partial,0.4117647058823529,99.872267955
60,61,MU_Partial,0.2480392156862745,107.63536844500001
61,62,MU_Partial,0.646078431372549,134.17438285
62,63,MU_Partial,0.453921568627451,126.262963815
63,64,MU_Partial,0.5813725490196078,187.059458105
64,65,MU_Partial,0.9323529411764708,82.37454715000001
65,66,MU_Partial,0.6196078431372549,129.96798863499998
66,67,MU_Partial,0.2686274509803922,111.654701675
67,68,MU_Partial,0.33921568627450976,123.85382123
68,69,MU_Partial,0.627450980392157,111.53530975000001
69,70,MU_Partial,0.8245098039215686,85.54649319500001
70,71,MU_Partial,0.3029411764705883,112.52551051500001
71,72,MU_Partial,0.9,111.06764253
72,73,MU_Partial,0.4352941176470588,195.34271704
73,74,MU_Partial,0.315686274509804,99.99949298499999
74,75,MU_Partial,0.531372549019608,139.09472978
75,76,MU_Partial,0.2843137254901961,159.81715987
76,77,MU_Partial,0.5029411764705882,105.081631475
77,78,MU_Partial,0.3725490196078432,102.845363005
78,79,MU_Partial,0.5794117647058823,68.39936165
79,81,MU_Partial,0.3019607843137255,99.93913337000001
80,82,MU_Partial,0.7313725490196079,80.53566765
81,83,MU_Partial,0.3333333333333334,159.559788395
82,84,MU_Partial,0.85,100.10477661
83,85,MU_Partial,0.2862745098039216,146.444340515
84,87,MU_Partial,0.29705882352941176,157.55230059000002
85,88,MU_Partial,0.8539215686274509,100.50512306
86,89,MU_Partial,0.4313725490196078,187.633783205
87,90,MU_Partial,0.43921568627450985,96.94702329500001
88,91,MU_Partial,0.5235294117647059,98.887866815
89,92,MU_Partial,0.4107843137254902,108.92595975
90,93,MU_Partial,0.6372549019607844,173.63367576
91,94,MU_Partial,0.5647058823529413,163.19341401
92,95,MU_Partial,0.4509803921568627,131.761452085
93,96,MU_Partial,0.5901960784313726,95.67161811
94,97,MU_Partial,0.5627450980392157,113.826037765
95,98,MU_Partial,0.6784313725490198,146.766366415
96,99,MU_Partial,0.6941176470588235,116.3922218
97,100,MU_Partial,0.4480392156862745,89.400578535
98,1,OSPAN_Partial,0.84,106.72445752
99,2,OSPAN_Partial,0.963,120.855988275
100,3,OSPAN_Partial,0.9079999999999999,111.727054065
101,4,OSPAN_Partial,0.983,172.39859476499998
102,5,OSPAN_Partial,0.972,123.16638393
103,6,OSPAN_Partial,0.972,99.036833455
104,7,OSPAN_Partial,0.972,175.32081739
105,8,OSPAN_Partial,0.958,92.24280198
106,9,OSPAN_Partial,1.0,103.864944985
107,10,OSPAN_Partial,0.768,118.78651816
108,11,OSPAN_Partial,0.733,163.62562660999998
109,12,OSPAN_Partial,0.8959999999999999,45.717286455
110,13,OSPAN_Partial,0.8759999999999999,100.86096799
111,14,OSPAN_Partial,0.85,134.732704055
112,15,OSPAN_Partial,0.972,62.55620093
113,16,OSPAN_Partial,0.833,69.19922793
114,17,OSPAN_Partial,0.9670000000000001,88.584535805
115,18,OSPAN_Partial,0.983,112.05009554
116,19,OSPAN_Partial,0.8009999999999999,94.33394502499999
117,20,OSPAN_Partial,1.0,113.18259158500001
118,21,OSPAN_Partial,0.8640000000000001,128.81424965
119,22,OSPAN_Partial,0.6579999999999999,105.09143564
120,23,OSPAN_Partial,0.682,96.5325773
121,24,OSPAN_Partial,0.7829999999999999,137.38157547
122,25,OSPAN_Partial,0.86,82.896873935
123,26,OSPAN_Partial,0.8759999999999999,125.606951375
124,27,OSPAN_Partial,0.888,101.772580395
125,28,OSPAN_Partial,0.9,121.418952025
126,29,OSPAN_Partial,0.9179999999999999,137.98269932
127,30,OSPAN_Partial,0.929,105.905468645
128,31,OSPAN_Partial,0.887,136.382408935
129,32,OSPAN_Partial,0.897,109.171008125
130,33,OSPAN_Partial,0.946,130.76394503
131,34,OSPAN_Partial,0.9790000000000001,128.59129744
132,35,OSPAN_Partial,0.983,124.953257025
133,36,OSPAN_Partial,0.8859999999999999,119.343968795
134,37,OSPAN_Partial,0.871,110.06232084999999
135,38,OSPAN_Partial,0.963,225.2411763
136,39,OSPAN_Partial,0.838,80.87046380000001
137,40,OSPAN_Partial,0.8390000000000001,81.242785365
138,41,OSPAN_Partial,0.9670000000000001,117.259963545
139,42,OSPAN_Partial,0.664,124.73146493
140,43,OSPAN_Partial,0.935,109.615002625
141,44,OSPAN_Partial,0.778,162.81103116
142,45,OSPAN_Partial,0.925,122.436703325
143,46,OSPAN_Partial,0.9329999999999999,124.54486227499999
144,47,OSPAN_Partial,0.8320000000000001,69.79566292999999
145,48,OSPAN_Partial,0.924,121.95680784999999
146,49,OSPAN_Partial,0.8079999999999999,146.102280885
147,50,OSPAN_Partial,0.9420000000000001,98.99332438
148,51,OSPAN_Partial,0.851,101.95676621999999
149,52,OSPAN_Partial,0.862,162.63796059
150,53,OSPAN_Partial,0.475,139.16150585
151,54,OSPAN_Partial,0.938,103.25632294
152,55,OSPAN_Partial,0.872,109.6087984
153,56,OSPAN_Partial,0.8690000000000001,82.30270446
154,57,OSPAN_Partial,0.735,144.943318115
155,58,OSPAN_Partial,0.782,161.246648075
156,59,OSPAN_Partial,0.772,140.85490922
157,60,OSPAN_Partial,0.669,99.872267955
158,61,OSPAN_Partial,0.826,107.63536844500001
159,62,OSPAN_Partial,0.8809999999999999,134.17438285
160,63,OSPAN_Partial,0.9179999999999999,126.262963815
161,64,OSPAN_Partial,0.929,187.059458105
162,65,OSPAN_Partial,0.914,82.37454715000001
163,66,OSPAN_Partial,0.963,129.96798863499998
164,67,OSPAN_Partial,0.703,111.654701675
165,68,OSPAN_Partial,0.958,123.85382123
166,69,OSPAN_Partial,0.818,111.53530975000001
167,70,OSPAN_Partial,1.0,85.54649319500001
168,71,OSPAN_Partial,0.647,112.52551051500001
169,72,OSPAN_Partial,0.983,111.06764253
170,73,OSPAN_Partial,0.9329999999999999,195.34271704
171,74,OSPAN_Partial,0.718,99.99949298499999
172,75,OSPAN_Partial,0.8690000000000001,139.09472978
173,76,OSPAN_Partial,0.843,159.81715987
174,77,OSPAN_Partial,0.963,105.081631475
175,78,OSPAN_Partial,0.91,102.845363005
176,79,OSPAN_Partial,0.983,68.39936165
177,81,OSPAN_Partial,0.685,99.93913337000001
178,82,OSPAN_Partial,0.9179999999999999,80.53566765
179,83,OSPAN_Partial,0.9420000000000001,159.559788395
180,84,OSPAN_Partial,0.9279999999999999,100.10477661
181,85,OSPAN_Partial,0.8390000000000001,146.444340515
182,87,OSPAN_Partial,0.9,157.55230059000002
183,88,OSPAN_Partial,0.8390000000000001,100.50512306
184,89,OSPAN_Partial,0.956,187.633783205
185,90,OSPAN_Partial,0.883,96.94702329500001
186,91,OSPAN_Partial,0.604,98.887866815
187,92,OSPAN_Partial,0.9209999999999999,108.92595975
188,93,OSPAN_Partial,0.8809999999999999,173.63367576
189,94,OSPAN_Partial,0.956,163.19341401
190,95,OSPAN_Partial,0.922,131.761452085
191,96,OSPAN_Partial,0.946,95.67161811
192,97,OSPAN_Partial,0.8540000000000001,113.826037765
193,98,OSPAN_Partial,0.826,146.766366415
194,99,OSPAN_Partial,0.81,116.3922218
195,100,OSPAN_Partial,0.86,89.400578535
196,1,Avg,0.664607843137255,106.72445752
197,2,Avg,0.8163039215686274,120.855988275
198,3,Avg,0.804,111.727054065
199,4,Avg,0.783656862745098,172.39859476499998
200,5,Avg,0.8159019607843139,123.16638393
201,6,Avg,0.7742352941176469,99.036833455
202,7,Avg,0.6183529411764705,175.32081739
203,8,Avg,0.6642941176470588,92.24280198
204,9,Avg,0.9357843137254902,103.864944985
205,10,Avg,0.6398823529411766,118.78651816
206,11,Avg,0.7223823529411765,163.62562660999998
207,12,Avg,0.7602549019607843,45.717286455
208,13,Avg,0.5816274509803921,100.86096799
209,14,Avg,0.5740196078431372,134.732704055
210,15,Avg,0.6585490196078432,62.55620093
211,16,Avg,0.650813725490196,69.19922793
212,17,Avg,0.7663431372549019,88.584535805
213,18,Avg,0.7571862745098039,112.05009554
214,19,Avg,0.7416764705882353,94.33394502499999
215,20,Avg,0.7622549019607843,113.18259158500001
216,21,Avg,0.8011176470588235,128.81424965
217,22,Avg,0.5471372549019607,105.09143564
218,23,Avg,0.6660000000000001,96.5325773
219,24,Avg,0.4434607843137255,137.38157547
220,25,Avg,0.6363725490196078,82.896873935
221,26,Avg,0.5909411764705883,125.606951375
222,27,Avg,0.6547843137254902,101.772580395
223,28,Avg,0.7073529411764705,121.418952025
224,29,Avg,0.6898823529411765,137.98269932
225,30,Avg,0.8267549019607843,105.905468645
226,31,Avg,0.6601666666666667,136.382408935
227,32,Avg,0.6646764705882353,109.171008125
228,33,Avg,0.7426078431372549,130.76394503
229,34,Avg,0.7586176470588235,128.59129744
230,35,Avg,0.8478725490196077,124.953257025
231,36,Avg,0.5856470588235294,119.343968795
232,37,Avg,0.6350098039215686,110.06232084999999
233,38,Avg,0.7873823529411764,225.2411763
234,39,Avg,0.6214509803921568,80.87046380000001
235,40,Avg,0.6886176470588234,81.242785365
236,41,Avg,0.8697745098039216,117.259963545
237,42,Avg,0.5393529411764706,124.73146493
238,43,Avg,0.6557352941176471,109.615002625
239,44,Avg,0.5669411764705883,162.81103116
240,45,Avg,0.7012254901960785,122.436703325
241,46,Avg,0.7635588235294117,124.54486227499999
242,47,Avg,0.5419803921568627,69.79566292999999
243,48,Avg,0.6874901960784314,121.95680784999999
244,49,Avg,0.6794901960784314,146.102280885
245,50,Avg,0.678843137254902,98.99332438
246,51,Avg,0.8132450980392156,101.95676621999999
247,52,Avg,0.6819803921568628,162.63796059
248,53,Avg,0.3257352941176471,139.16150585
249,54,Avg,0.7645882352941176,103.25632294
250,55,Avg,0.5325686274509804,109.6087984
251,56,Avg,0.6653823529411764,82.30270446
252,57,Avg,0.5929901960784314,144.943318115
253,58,Avg,0.5145294117647059,161.246648075
254,59,Avg,0.6904117647058823,140.85490922
255,60,Avg,0.5403823529411764,99.872267955
256,61,Avg,0.5370196078431373,107.63536844500001
257,62,Avg,0.7635392156862745,134.17438285
258,63,Avg,0.6859607843137255,126.262963815
259,64,Avg,0.7551862745098039,187.059458105
260,65,Avg,0.9231764705882354,82.37454715000001
261,66,Avg,0.7913039215686275,129.96798863499998
262,67,Avg,0.4858137254901961,111.654701675
263,68,Avg,0.6486078431372548,123.85382123
264,69,Avg,0.7227254901960785,111.53530975000001
265,70,Avg,0.9122549019607844,85.54649319500001
266,71,Avg,0.4749705882352941,112.52551051500001
267,72,Avg,0.9415,111.06764253
268,73,Avg,0.6841470588235294,195.34271704
269,74,Avg,0.5168431372549019,99.99949298499999
270,75,Avg,0.700186274509804,139.09472978
271,76,Avg,0.5636568627450981,159.81715987
272,77,Avg,0.7329705882352942,105.081631475
273,78,Avg,0.6412745098039216,102.845363005
274,79,Avg,0.7812058823529411,68.39936165
275,81,Avg,0.4934803921568628,99.93913337000001
276,82,Avg,0.8246862745098041,80.53566765
277,83,Avg,0.6376666666666667,159.559788395
278,84,Avg,0.889,100.10477661
279,85,Avg,0.5626372549019608,146.444340515
280,87,Avg,0.5985294117647059,157.55230059000002
281,88,Avg,0.8464607843137255,100.50512306
282,89,Avg,0.6936862745098039,187.633783205
283,90,Avg,0.6611078431372549,96.94702329500001
284,91,Avg,0.5637647058823531,98.887866815
285,92,Avg,0.6658921568627452,108.92595975
286,93,Avg,0.7591274509803922,173.63367576
287,94,Avg,0.7603529411764707,163.19341401
288,95,Avg,0.6864901960784313,131.761452085
289,96,Avg,0.7680980392156862,95.67161811
290,97,Avg,0.7083725490196078,113.826037765
291,98,Avg,0.7522156862745099,146.766366415
292,99,Avg,0.7520588235294118,116.3922218
293,100,Avg,0.6540196078431373,89.400578535
