,subject,Mem_Update,OSPAN,RAPM,Tau,Mu,Sigma,SCamp
33,34,0.20038655682337947,1.0798753255146438,0.5568336471713803,128.59129744,167.013891655,65.11935074,4.795676258992806
34,35,1.2039877905951404,1.1202444965619192,-0.6209296065580149,124.953257025,150.634135155,57.743122665,3.2288896103896136
35,36,-1.2542714112278237,0.1412920986654663,0.5568336471713803,119.343968795,133.40833785,27.6329722,4.291958820255978
36,37,-0.6002391465226312,-0.010092292761819102,0.5568336471713803,110.06232085,141.939818145,53.994471165,5.870077476480362
37,38,0.6232522452103577,0.9183986413255372,2.1271846521439066,225.24117630000003,140.66417755,31.76416333,5.4006887052341535
38,39,-0.5664098914516732,-0.3431379539018495,-0.2283418553148831,80.87046380000002,173.68504282,47.46669677,4.157159863945575
39,40,0.2003865568233801,-0.3330456611400292,0.9494213984145116,81.242785365,185.592609615,43.47614537,4.667697802197806
40,41,1.5479185504832158,0.9587678123728146,0.16424589592824848,117.259963545,158.78641972999995,56.394015875,4.870264005151312
41,42,-0.5100277996667424,-2.099196894458371,-0.2283418553148831,124.73146493,169.79067043499995,48.99104703,3.3954834684965736
42,43,-0.7299179576279708,0.6358144439946034,-0.6209296065580149,109.615002625,153.58666449999996,45.39721077,3.7981259484066707
43,44,-0.8483203503763247,-0.9486755196109944,-1.406105109044278,162.81103116,171.00265323,69.53126866,5.917180385288956
44,45,-0.14918241224318793,0.5348915163764124,0.16424589592824848,122.436703325,149.83367852499995,70.446392965,5.232236756049709
45,46,0.5217644799974834,0.6156298584709641,0.16424589592824848,124.544862275,193.212004075,55.38966599,5.335242847638054
46,47,-1.4459705232965867,-0.4036917104727629,0.5568336471713803,69.79566292999999,170.686761935,63.160988205,4.2804693539480985
47,48,-0.3014140600625004,0.5247992236145933,0.16424589592824848,121.95680785,175.929584825,49.497749065,5.787790988735921
48,49,0.27368327614379,-0.6459067367564225,0.5568336471713803,146.102280885,169.165692905,66.19359987499999,4.1040228013029365
49,50,-0.5043895904882496,0.7064604933273371,0.5568336471713803,98.99332438,175.045198255,35.19831534,4.773405438813346
50,51,1.5648331780186957,-0.21193814799820115,1.3420091496576434,101.95676622,157.972587705,41.04453065,4.8120256410256275
51,52,-0.00822718278086217,-0.10092292761819102,0.16424589592824848,162.63796059,171.90609681,66.45162258,3.617737478411053
52,53,-1.8801126300405504,-4.0066402264421805,-1.406105109044278,139.16150585,156.21999767,55.071101745,5.508465189873422
53,54,0.5048498524620038,0.6660913222800596,-0.6209296065580149,103.25632294,166.45541621,50.757710515,4.390700169395827
54,55,-1.7842630740061691,0.0,-1.7986928602874095,109.6087984,161.688300625,71.05061842500002,5.439911624745064
55,56,-0.2393937590990762,-0.03027687828545618,-0.2283418553148831,82.30270446,169.158647265,57.22857407,4.786876015159722
56,57,-0.3014140600625004,-1.3826441083692158,-1.0135173578011465,144.943318115,167.227772425,48.21817191,5.158423566878978
57,58,-1.4741615691890515,-0.9083063485637181,-1.406105109044278,161.246648075,151.395986735,70.449466255,4.047190022010274
58,59,0.6063376176748779,-1.009229276181909,1.7345969009007751,140.85490922,201.12164462,64.90592082,4.816730632551527
59,60,-0.5269424272022217,-2.0487354306492755,0.9494213984145116,99.872267955,149.32248554,24.923520875,4.444181818181813
60,61,-1.468523360010559,-0.4642454670436787,-1.0135173578011465,107.635368445,191.910128045,58.644181265,4.356967060285895
61,62,0.8205895664576139,0.0908306348563708,-0.2283418553148831,134.17438285,208.114324165,46.54421194,5.243466026080988
62,63,-0.284499432527021,0.4642454670436775,0.5568336471713803,126.262963815,167.96095244999995,49.794810115,4.479237179487176
63,64,0.4484677606770736,0.5752606874236887,0.9494213984145116,187.059458105,126.448138865,45.04733461,3.5692935178441347
64,65,2.4669466465775827,0.4238762959964023,-1.0135173578011465,82.37454715000001,150.31869346000005,33.07439943,4.986275894538612
65,66,0.6683579186383025,0.9183986413255372,0.16424589592824848,129.96798863499998,142.152408095,46.608878875,3.9873602305475533
66,67,-1.3501209672622048,-1.7055974767474271,-1.0135173578011465,111.654701675,149.119018385,41.45084863,4.891237652527592
67,68,-0.9441699064107066,0.8679371775164416,0.16424589592824848,123.85382123,132.94607198,13.975450215,5.629186991869907
68,69,0.7134635920662473,-0.5449838091382315,-1.0135173578011465,111.53530975,193.12660227,70.8038723,3.7286683260734246
69,70,1.8467436369433468,1.291813473512844,-2.1912806115305408,85.54649319500002,154.73529006,63.271945345,4.442510028653294
70,71,-1.1527836460149483,-2.2707658714092958,-0.6209296065580149,112.525510515,174.80656821,58.6479184,5.290011792452837
71,72,2.2808857436873122,1.1202444965619192,2.1271846521439066,111.06764253,138.235287485,46.886500785,4.739487323943658
72,73,-0.391625406918389,0.6156298584709641,-0.2283418553148831,195.34271704,154.73943895,64.95896729,5.9611373976342135
73,74,-1.0794869266945386,-1.5542130853201406,0.5568336471713803,99.999492985,180.87865332,62.795960805,4.600399047051821
74,75,0.16091909257392964,-0.03027687828545618,1.3420091496576434,139.09472978,184.34403974,60.16454612,6.1039335180055465
75,76,-1.2599096204063165,-0.2926764900927539,0.16424589592824848,159.81715987,124.153996155,20.61339686,4.470197413206267
76,77,-0.002588973602369152,0.9183986413255372,-1.0135173578011465,105.081631475,143.29099596499995,21.67400127,4.29246035805627
77,78,-0.7524707943419428,0.38350712494912587,0.5568336471713803,102.845363005,182.999999015,52.72852303000001,5.366982316029667
78,79,0.4371913423200875,1.1202444965619192,0.9494213984145116,68.39936165,158.62054402,44.810206799999996,4.33336653386454
79,81,-1.1584218551934415,-1.8872587464601696,-0.2283418553148831,99.93913337,212.51479829,73.160199885,4.017699115044241
80,82,1.311113764986509,0.4642454670436775,0.16424589592824848,80.53566765,199.094033,39.322532655,3.102671927846675
81,83,-0.977999161481664,0.7064604933273371,-1.0135173578011465,159.559788395,165.435315695,53.669162555,4.225899788285111
82,84,1.9933370755841664,0.5651683946618685,2.1271846521439066,100.10477661,170.890430035,50.50733459,4.412037887485655
83,85,-1.2486332020493305,-0.3330456611400292,-1.406105109044278,146.444340515,121.377475515,32.86098695,3.8461483409238792
84,87,-1.186612901085907,0.2825841973309348,0.5568336471713803,157.55230059000004,161.911387805,45.67633638,4.184038893044126
85,88,2.015889912298138,-0.3330456611400292,-1.406105109044278,100.50512306,161.25900253,45.86279077,3.7385373781148483
86,89,-0.41417824363236105,0.8477525919928034,0.16424589592824848,187.633783205,153.84194935,25.046656875,3.7667050691244333
87,90,-0.36907257020441625,0.11101522038001012,-1.406105109044278,96.947023295,147.89342397500005,44.65344623,5.248224043715855
88,91,0.11581341914598485,-2.704734460167517,0.16424589592824848,98.887866815,152.50524879,33.757780185,2.944081735620579
89,92,-0.5325806363807147,0.4945223453291349,1.3420091496576434,108.92595975,158.028058125,55.99669426,5.015586249232659
90,93,0.7698456838511775,0.0908306348563708,-1.0135173578011465,173.63367576,120.78578030000001,34.180375299999994,3.126342245989305
91,94,0.3526182046426929,0.8477525919928034,-1.406105109044278,163.19341401,150.271690455,43.706243335,4.8597433841218916
92,95,-0.3014140600625004,0.5046146380909551,0.16424589592824848,131.761452085,184.52066924,51.160076445,5.746412466843497
93,96,0.4992116432835113,0.7468296643746124,0.5568336471713803,95.67161811,159.202540565,43.798247315,5.17785373608902
94,97,0.3413417862857062,-0.1816612697127427,0.16424589592824848,113.826037765,186.83147475,40.26778385500001,5.360244498777512
95,98,1.0066504693478855,-0.4642454670436787,0.5568336471713803,146.766366415,173.90398971500005,52.2592168,6.095942446043163
96,99,1.096861816203773,-0.6257221512327832,1.7345969009007751,116.3922218,196.01213858,48.068816155,4.655413142485361
97,100,-0.31832868759797944,-0.12110751314182926,-0.6209296065580149,89.400578535,190.755413825,57.24767995,4.608359756097558
