"mu","sig","tau","log_like","aic","bic","subject"
142.137222452138,56.7899967693639,111.747802548258,-11079.7230584152,22165.4461168305,22181.9443867022,37
143.20234051854,62.7198533356873,221.272179706828,-7234.95903416277,14475.9180683255,14490.8971136943,38
166.356280206924,48.861947249877,93.8193331726213,-10525.1807439426,21056.3614878852,21072.7875055949,39
180.909214339894,43.5887561735096,89.0986043295828,-10706.383586772,21418.767173544,21435.2869488842,40
141.986650665388,43.4741015230427,142.135481462143,-9633.55419520772,19273.1083904154,19289.1522218849,41
164.970349828361,43.3210113254068,135.90905595515,-9909.36892742582,19824.7378548516,19840.8767513095,42
151.130974326111,44.2344836007371,116.799743473815,-8007.862371059,16021.724742118,16037.2763542632,43
170.947679294052,62.6592190698134,167.70693155366,-7376.64305535671,14759.2861107134,14774.4077198841,44
141.460353967909,56.7255175567918,135.147348317945,-9560.56879375106,19127.1375875021,19143.1346951199,45
198.347674791408,58.3337073621978,120.015138002975,-9316.30700042559,18638.6140008512,18654.5596560204,46
147.50465424545,52.3900342848171,104.420015348915,-10932.9575307328,21871.9150614657,21888.4199648393,47
169.119698394784,40.4315483875152,133.485774301944,-9814.4714626176,19634.9429252352,19651.0724496142,48
154.407138024347,59.5686325617104,180.022896159253,-7920.42196065114,15846.8439213023,15862.1833476284,49
165.00215860398,39.8318052110621,123.196865412852,-9840.70775102067,19687.4155020413,19703.5823403342,50
145.687699761318,37.7610778715925,129.591007629497,-9526.44994627585,19058.8998925517,19074.9572158524,51
163.008544841865,60.7683382270598,177.316824258988,-7482.83665604669,14971.6733120934,14986.8366610678,52
142.986809705863,52.9637568392267,166.065164831923,-8066.86202916597,16139.7240583319,16155.1501680561,53
161.771794899752,51.3656539583492,110.608979864518,-10763.936670906,21533.873341812,21550.3112407254,54
160.829074671159,67.3411059824873,115.516386969051,-9141.12256454846,18288.2451290969,18304.1262222587,55
165.438742761333,56.4676729925147,87.976329732742,-11013.9416597044,22033.8833194089,22050.4472733495,56
159.926834147116,38.9498591464131,168.534234415993,-7953.5077718961,15913.0155437922,15928.4226058333,57
138.424831271928,62.5118588728156,184.571123875293,-8850.83726805628,17707.6745361126,17723.3268664076,58
203.337111694654,60.59257366352,143.198187824334,-8896.60958350166,17799.2191670033,17814.9668121747,59
153.803316255219,47.9995391767956,92.6649836206228,-11139.3528588277,22284.7057176554,22301.3067987849,60
180.917827699856,43.9444418889811,126.931426926663,-9857.79241110144,19721.5848222029,19737.7349266439,61
203.721831401077,43.2002684672343,141.019747685476,-9023.99718108686,18053.9943621737,18069.8467665923,62
164.928911009232,54.8807964303782,136.191593390423,-9745.34471733252,19496.689434665,19512.7467579658,63
125.162057329043,47.0717091356613,203.098981725762,-8952.97743670098,17911.954873402,17927.6291336193,64
149.734303610911,38.5708245490935,84.0645532986048,-12333.2683142685,24672.536628537,24689.5197976841,65
138.026655575076,43.0830165376822,137.733395268874,-10715.9896667039,21437.9793334078,21454.3556214849,66
143.674863595385,36.299626018155,127.843368864749,-10457.1267997429,20920.2535994858,20936.6055818744,67
129.682314641185,30.9285545050836,135.550396709466,-10533.5019401432,21073.0038802863,21089.3576053413,68
