,subject,Test,Score,Mu,Sigma,Tau,SCamp
52,53,Mem_Update,-1.8801126300405504,156.21999767,55.071101745,139.16150585,5.508465189873422
53,54,Mem_Update,0.5048498524620038,166.45541621,50.757710515,103.25632294,4.390700169395826
54,55,Mem_Update,-1.7842630740061691,161.688300625,71.05061842500002,109.60879840000001,5.439911624745064
55,56,Mem_Update,-0.2393937590990762,169.158647265,57.22857407,82.30270446,4.786876015159722
56,57,Mem_Update,-0.3014140600625004,167.227772425,48.21817191,144.943318115,5.158423566878978
57,58,Mem_Update,-1.4741615691890515,151.395986735,70.449466255,161.246648075,4.047190022010274
58,59,Mem_Update,0.6063376176748779,201.12164462,64.90592082,140.85490922,4.816730632551527
59,60,Mem_Update,-0.5269424272022217,149.32248554,24.923520875,99.872267955,4.444181818181813
60,61,Mem_Update,-1.468523360010559,191.910128045,58.644181265,107.635368445,4.3569670602858945
61,62,Mem_Update,0.8205895664576139,208.114324165,46.54421194,134.17438285,5.243466026080988
62,63,Mem_Update,-0.284499432527021,167.96095244999995,49.794810115,126.262963815,4.479237179487176
63,64,Mem_Update,0.4484677606770736,126.448138865,45.04733461,187.059458105,3.5692935178441347
64,65,Mem_Update,2.4669466465775827,150.31869346000005,33.07439943,82.37454715000001,4.986275894538612
65,66,Mem_Update,0.6683579186383025,142.152408095,46.608878875,129.96798863499998,3.987360230547553
66,67,Mem_Update,-1.3501209672622048,149.119018385,41.45084863,111.654701675,4.891237652527591
67,68,Mem_Update,-0.9441699064107066,132.94607198,13.975450215,123.85382123,5.629186991869908
68,69,Mem_Update,0.7134635920662473,193.12660227,70.8038723,111.53530975,3.728668326073425
69,70,Mem_Update,1.8467436369433468,154.73529006,63.271945345,85.54649319500002,4.4425100286532935
70,71,Mem_Update,-1.1527836460149483,174.80656821,58.6479184,112.525510515,5.2900117924528365
71,72,Mem_Update,2.280885743687312,138.235287485,46.886500785,111.06764253,4.739487323943658
72,73,Mem_Update,-0.391625406918389,154.73943895,64.95896729,195.34271704,5.9611373976342135
73,74,Mem_Update,-1.0794869266945386,180.87865332,62.795960805,99.999492985,4.6003990470518215
74,75,Mem_Update,0.16091909257392964,184.34403974,60.16454612,139.09472978,6.1039335180055465
75,76,Mem_Update,-1.2599096204063165,124.153996155,20.61339686,159.81715987,4.470197413206267
76,77,Mem_Update,-0.002588973602369152,143.29099596499995,21.67400127,105.081631475,4.29246035805627
77,78,Mem_Update,-0.7524707943419428,182.999999015,52.72852303000001,102.845363005,5.3669823160296675
78,79,Mem_Update,0.4371913423200875,158.62054402,44.8102068,68.39936165,4.33336653386454
79,81,Mem_Update,-1.1584218551934415,212.51479829,73.160199885,99.93913337,4.017699115044241
80,82,Mem_Update,1.311113764986509,199.094033,39.322532655,80.53566765,3.102671927846675
81,83,Mem_Update,-0.977999161481664,165.435315695,53.669162555,159.559788395,4.225899788285111
82,84,Mem_Update,1.9933370755841664,170.890430035,50.50733459,100.10477661,4.412037887485655
83,85,Mem_Update,-1.2486332020493305,121.377475515,32.86098695,146.444340515,3.8461483409238792
84,87,Mem_Update,-1.186612901085907,161.911387805,45.67633638,157.55230059000004,4.184038893044127
85,88,Mem_Update,2.015889912298138,161.25900253,45.86279077,100.50512306,3.738537378114848
86,89,Mem_Update,-0.41417824363236105,153.84194935,25.046656875,187.633783205,3.766705069124433
87,90,Mem_Update,-0.36907257020441625,147.89342397500005,44.65344623,96.947023295,5.248224043715855
88,91,Mem_Update,0.11581341914598485,152.50524879,33.757780185,98.887866815,2.9440817356205784
89,92,Mem_Update,-0.5325806363807147,158.028058125,55.99669426,108.92595975,5.015586249232659
90,93,Mem_Update,0.7698456838511775,120.7857803,34.180375299999994,173.63367576,3.1263422459893055
91,94,Mem_Update,0.3526182046426929,150.271690455,43.706243335,163.19341401,4.859743384121892
