,subject,Mem_Update,OSPAN,RAPM,Tau,Mu,Sigma,SCamp
70,71,-1.1527836460149483,-2.2707658714092958,-0.6209296065580149,136.89248385500002,145.43571287499995,57.805188435,4.781405805350031
71,72,2.2808857436873122,1.1202444965619192,2.1271846521439066,146.08773169999995,112.596176075,30.478275815,3.8321199767035523
72,73,-0.391625406918389,0.6156298584709641,-0.2283418553148831,228.14466335,168.00983630000002,56.47016447,6.327185114503824
73,74,-1.0794869266945386,-1.5542130853201406,0.5568336471713803,98.41985779,171.747619155,54.973905095,5.321926707384788
74,75,0.16091909257392964,-0.03027687828545618,1.3420091496576434,154.08819612,189.74698419,57.92356495,6.731764705882351
75,76,-1.2599096204063165,-0.2926764900927539,0.16424589592824848,208.216485355,115.54997788,10.586418225,3.4716877971473825
76,77,-0.002588973602369152,0.9183986413255372,-1.0135173578011465,95.8966296,149.34920089,40.965538125,4.387146365422399
77,78,-0.7524707943419428,0.38350712494912587,0.5568336471713803,107.77053297,174.09031514499995,53.207124145,5.582325315005731
78,79,0.4371913423200875,1.1202444965619192,0.9494213984145116,90.69739476,136.38900816,30.675975345,4.165317265125432
79,81,-1.1584218551934415,-1.8872587464601696,-0.2283418553148831,149.95807135,194.36234051,60.42743127,3.6171578947368386
80,82,1.311113764986509,0.4642454670436775,0.16424589592824848,80.19051521,190.55146496,38.66661395,3.664872364039963
81,83,-0.977999161481664,0.7064604933273371,-1.0135173578011465,223.18885745,113.80536151,11.4868039,3.10589765828274
82,84,1.9933370755841664,0.5651683946618685,2.1271846521439066,138.94181344,165.69906919999997,52.583869075,4.268486269256525
83,85,-1.2486332020493305,-0.3330456611400292,-1.406105109044278,126.487023565,139.12300598500002,30.47744679,4.465593815881939
84,87,-1.186612901085907,0.2825841973309348,0.5568336471713803,164.71175628,147.98689312,27.01406634,3.8885834411384224
85,88,2.015889912298138,-0.3330456611400292,-1.406105109044278,89.96488568999996,175.10757124499997,55.34353872,3.673604143947655
86,89,-0.41417824363236105,0.8477525919928034,0.16424589592824848,214.70252356,161.98011735,25.15402452,4.522734113712372
87,90,-0.36907257020441625,0.11101522038001012,-1.406105109044278,99.34192524,151.3187024,45.35702908499999,4.720042149631199
88,91,0.11581341914598485,-2.704734460167517,0.16424589592824848,108.624369395,148.22045569,39.414235415,2.8464909560723464
89,92,-0.5325806363807147,0.4945223453291349,1.3420091496576434,117.856660615,142.00762855,48.771753025,4.5049582338902185
90,93,0.7698456838511775,0.0908306348563708,-1.0135173578011465,145.79091399499995,129.28988464,25.642590105,2.8610064239828703
91,94,0.3526182046426929,0.8477525919928034,-1.406105109044278,151.48685547000005,137.417273765,34.47413181,4.7990931174089075
92,95,-0.3014140600625004,0.5046146380909551,0.16424589592824848,138.269286265,156.687354705,49.918118605,4.762193036041539
93,96,0.4992116432835113,0.7468296643746124,0.5568336471713803,117.64850486,166.32899153,46.48395306,5.3151520681265225
94,97,0.3413417862857062,-0.1816612697127427,0.16424589592824848,94.89727487,179.38709869000004,48.134279985,5.3676629213483125
95,98,1.0066504693478855,-0.4642454670436787,0.5568336471713803,142.65622416500003,130.022492005,50.05215364,5.470351458885939
96,99,1.096861816203773,-0.6257221512327832,1.7345969009007751,134.467816635,173.345881495,58.11657805500001,4.214750853242323
97,100,-0.31832868759797944,-0.12110751314182926,-0.6209296065580149,115.391555855,190.063484255,56.75025818,4.1406876606683705
