,subject,Test,Score,Mu,Sigma,Tau,SCamp
70,71,Mem_Update,-1.1527836460149483,145.43571287499995,57.805188435,136.89248385500002,4.7814058053500315
71,72,Mem_Update,2.280885743687312,112.596176075,30.478275815,146.08773169999995,3.832119976703552
72,73,Mem_Update,-0.391625406918389,168.00983630000005,56.47016447,228.14466335,6.327185114503825
73,74,Mem_Update,-1.0794869266945386,171.747619155,54.973905095,98.41985779,5.321926707384788
74,75,Mem_Update,0.16091909257392964,189.74698419,57.92356495,154.08819612,6.731764705882352
75,76,Mem_Update,-1.2599096204063165,115.54997788,10.586418225,208.216485355,3.4716877971473825
76,77,Mem_Update,-0.002588973602369152,149.34920089,40.965538125,95.8966296,4.387146365422399
77,78,Mem_Update,-0.7524707943419428,174.09031514499995,53.207124145,107.77053297,5.582325315005732
78,79,Mem_Update,0.4371913423200875,136.38900816,30.675975345,90.69739476,4.165317265125432
79,81,Mem_Update,-1.1584218551934415,194.36234051,60.42743127,149.95807135,3.617157894736839
80,82,Mem_Update,1.311113764986509,190.55146496,38.66661395,80.19051521,3.664872364039963
81,83,Mem_Update,-0.977999161481664,113.80536151,11.4868039,223.18885745,3.10589765828274
82,84,Mem_Update,1.9933370755841664,165.69906919999997,52.583869075,138.94181344,4.268486269256525
83,85,Mem_Update,-1.2486332020493305,139.12300598500002,30.47744679,126.487023565,4.465593815881938
84,87,Mem_Update,-1.186612901085907,147.98689312,27.01406634,164.71175628,3.8885834411384224
85,88,Mem_Update,2.015889912298138,175.10757124499997,55.34353872,89.96488568999996,3.6736041439476548
86,89,Mem_Update,-0.41417824363236105,161.98011735,25.15402452,214.70252356,4.522734113712372
87,90,Mem_Update,-0.36907257020441625,151.3187024,45.35702908499999,99.34192524,4.720042149631199
88,91,Mem_Update,0.11581341914598485,148.22045569,39.414235415,108.624369395,2.8464909560723464
89,92,Mem_Update,-0.5325806363807147,142.00762855,48.771753025,117.856660615,4.5049582338902185
90,93,Mem_Update,0.7698456838511775,129.28988464,25.642590105,145.79091399499995,2.8610064239828703
91,94,Mem_Update,0.3526182046426929,137.417273765,34.47413181,151.48685547000005,4.799093117408908
92,95,Mem_Update,-0.3014140600625004,156.687354705,49.918118605,138.269286265,4.762193036041539
93,96,Mem_Update,0.4992116432835113,166.32899153,46.48395306,117.64850486,5.3151520681265225
94,97,Mem_Update,0.3413417862857062,179.38709869000004,48.134279985,94.89727487,5.3676629213483125
95,98,Mem_Update,1.0066504693478855,130.022492005,50.05215364,142.65622416500003,5.470351458885938
96,99,Mem_Update,1.096861816203773,173.345881495,58.11657805500001,134.467816635,4.2147508532423235
97,100,Mem_Update,-0.31832868759797944,190.063484255,56.75025818,115.391555855,4.1406876606683705
98,1,OSPAN,-0.3229533683782113,139.88389196,37.80706276,102.72108886,4.679518518518517
99,2,OSPAN,0.9183986413255372,163.98694462999995,57.4222474,97.656616825,4.817836456558763
100,3,OSPAN,0.3633225394254865,124.04167052,41.459445815,102.457896015,3.9810485810485785
101,4,OSPAN,1.1202444965619192,208.59069924,98.2665272,150.668076445,4.165633693972178
102,5,OSPAN,1.009229276181909,149.215281065,64.349665875,112.829027365,4.686259758694111
103,6,OSPAN,1.009229276181909,138.60017462500002,32.874101585,111.234232405,4.123028169014083
104,7,OSPAN,1.009229276181909,132.957235125,28.387114865,165.88452799499996,3.6705106048703873
105,8,OSPAN,0.8679371775164416,183.588431765,54.43409767,96.223101565,3.653760683760681
106,9,OSPAN,1.291813473512844,188.51188493,59.701667775,115.34775786,4.789210850801479
107,10,OSPAN,-1.0495984472291855,129.667358045,26.885107295,119.37426818,2.826130189646336
108,11,OSPAN,-1.4028286938928538,160.08317458,68.38699389,142.146800865,4.768942240779404
109,12,OSPAN,0.2422150262836573,180.775421,53.44575337,57.27464181000001,5.524529872673839
110,13,OSPAN,0.04036917104727528,153.96708929,53.869475455,108.383219015,5.1288363636363705
111,14,OSPAN,-0.22203044076002024,152.891954995,52.35617042,144.647528585,5.330290368271959
112,15,OSPAN,1.009229276181909,162.96345494500005,44.70359833000001,68.69525001,4.208144083969466
113,16,OSPAN,-0.39359941771094503,168.18752525,53.45523159,80.571433165,4.912684563758397
114,17,OSPAN,0.9587678123728146,144.55696629,36.39166761,102.760262175,4.905055865921791
115,18,OSPAN,1.1202444965619192,145.216128305,40.567094515,147.77343081,4.384934036939312
